id,Condition 1,Bin 1,Condition 2,Bin 2,Condition 3,Bin 3,State
0,CRULP,0,IME,1,WINDOWS,2,inprogress
1,IME,1,WINDOWS,0,IME,2,incomplete
2,WINDOWS,2,IME,1,CRULP,0,incomplete
3,CRULP,0,IME,1,WINDOWS,2,incomplete
4,IME,1,WINDOWS,0,IME,2,incomplete
5,WINDOWS,2,IME,1,CRULP,0,incomplete
6,CRULP,0,IME,1,WINDOWS,2,incomplete
7,IME,1,WINDOWS,0,IME,2,incomplete
8,WINDOWS,2,IME,1,CRULP,0,incomplete
9,CRULP,0,IME,1,WINDOWS,2,incomplete
10,IME,1,WINDOWS,0,IME,2,incomplete
11,WINDOWS,2,IME,1,CRULP,0,incomplete
12,CRULP,0,IME,1,WINDOWS,2,incomplete
13,IME,1,WINDOWS,0,IME,2,incomplete
14,WINDOWS,2,IME,1,CRULP,0,incomplete
15,CRULP,0,IME,1,WINDOWS,2,incomplete
16,IME,1,WINDOWS,0,IME,2,incomplete
17,WINDOWS,2,IME,1,CRULP,0,incomplete
18,CRULP,0,IME,1,WINDOWS,2,incomplete
19,IME,1,WINDOWS,0,IME,2,incomplete
20,WINDOWS,2,IME,1,CRULP,0,incomplete
